Chromosome	Length	Total Variants	VarPerKb	SNP	INDEL	Ts	Tv	Ts/Tv
scaffold_1	8183653	27682	3.38	0	13841	852	60	14.20
scaffold_10	55956	0	0.00	0	0	0	0	0
scaffold_11	48071	0	0.00	0	0	0	0	0
scaffold_12	41920	0	0.00	0	0	0	0	0
scaffold_13	36589	0	0.00	0	0	0	0	0
scaffold_14	21451	2	0.09	0	1	0	0	0
scaffold_2	7224844	21806	3.02	0	10903	703	54	13.02
scaffold_3	5015139	14654	2.92	0	7327	350	41	8.54
scaffold_4	3720388	15434	4.15	0	7717	425	38	11.18
scaffold_5	3425647	11810	3.45	0	5905	309	37	8.35
scaffold_6	106711	46	0.43	0	23	0	0	0
scaffold_7	80960	478	5.90	0	239	32	0	0
scaffold_8	65963	0	0.00	0	0	0	0	0
scaffold_9	64948	0	0.00	0	0	0	0	0
Totals	28092240	91912	3.27	0	45956	2671	230	11.61
