"","group"
"B0727_Argentina","G001"
"Coahuila_1","G001"
"Guerrero_1","G001"
"Michoacan_2","G001"
"SJV_1","G001"
"SJV_10","G001"
"SJV_11","G001"
"SJV_2","G001"
"SJV_3","G001"
"SJV_4","G001"
"SJV_5","G001"
"SJV_6","G001"
"SJV_7","G001"
"SJV_8","G001"
"SJV_9","G001"
"San_Diego_1.1","G001"
"San_Diego_1.2","G001"
"San_Joaquin_Valley_11","G001"
"San_Joaquin_Valley_2","G001"
"San_Joaquin_Valley_5","G001"
"San_Joaquin_Valley_6","G001"
"San_Joaquin_Valley_9","G001"
"WA_202","G001"
"WA_205","G001"
"WA_211","G001"
"WA_212","G001"
"Washington_1","G001"
