chrom	length	bases	mean	min	max
scaffold_1	8183653	427356541	52.22	0	406
scaffold_1_region	8183653	427356541	52.22	0	406
scaffold_2	7224844	369472601	51.14	0	809
scaffold_2_region	7224844	369472601	51.14	0	809
scaffold_3	5015139	256984989	51.24	0	2219
scaffold_3_region	5015139	256984989	51.24	0	2219
scaffold_4	3720388	191287040	51.42	0	520
scaffold_4_region	3720388	191287040	51.42	0	520
scaffold_5	3425647	178813481	52.20	0	529
scaffold_5_region	3425647	178813481	52.20	0	529
scaffold_6	106711	92245393	864.44	0	1720
scaffold_6_region	106711	92245393	864.44	0	1720
scaffold_7	80960	3494114	43.16	0	142
scaffold_7_region	80960	3494114	43.16	0	142
scaffold_8	65963	2886940	43.77	0	127
scaffold_8_region	65963	2886940	43.77	0	127
scaffold_9	64948	2888926	44.48	0	127
scaffold_9_region	64948	2888926	44.48	0	127
scaffold_10	55956	2265725	40.49	0	110
scaffold_10_region	55956	2265725	40.49	0	110
scaffold_11	48071	1797081	37.38	0	207
scaffold_11_region	48071	1797081	37.38	0	207
scaffold_12	41920	1758785	41.96	0	112
scaffold_12_region	41920	1758785	41.96	0	112
scaffold_13	36589	1670292	45.65	0	117
scaffold_13_region	36589	1670292	45.65	0	117
scaffold_14	21451	832064	38.79	0	108
scaffold_14_region	21451	832064	38.79	0	108
total	28092240	1533753972	54.60	0	2219
total_region	28092240	1533753972	54.60	0	2219
