chrom	length	bases	mean	min	max
scaffold_1	8183653	249793689	30.52	0	532
scaffold_1_region	8183653	249793689	30.52	0	532
scaffold_2	7224844	213419090	29.54	0	432
scaffold_2_region	7224844	213419090	29.54	0	432
scaffold_3	5015139	148151273	29.54	0	1185
scaffold_3_region	5015139	148151273	29.54	0	1185
scaffold_4	3720388	110444887	29.69	0	334
scaffold_4_region	3720388	110444887	29.69	0	334
scaffold_5	3425647	103944135	30.34	0	266
scaffold_5_region	3425647	103944135	30.34	0	266
scaffold_6	106711	47058420	440.99	0	924
scaffold_6_region	106711	47058420	440.99	0	924
scaffold_7	80960	2391087	29.53	0	113
scaffold_7_region	80960	2391087	29.53	0	113
scaffold_8	65963	1887084	28.61	0	59
scaffold_8_region	65963	1887084	28.61	0	59
scaffold_9	64948	1885908	29.04	0	59
scaffold_9_region	64948	1885908	29.04	0	59
scaffold_10	55956	1459751	26.09	0	56
scaffold_10_region	55956	1459751	26.09	0	56
scaffold_11	48071	1144438	23.81	0	55
scaffold_11_region	48071	1144438	23.81	0	55
scaffold_12	41920	1164149	27.77	0	55
scaffold_12_region	41920	1164149	27.77	0	55
scaffold_13	36589	1106373	30.24	0	53
scaffold_13_region	36589	1106373	30.24	0	53
scaffold_14	21451	622556	29.02	0	418
scaffold_14_region	21451	622556	29.02	0	418
total	28092240	884472840	31.48	0	1185
total_region	28092240	884472840	31.48	0	1185
