chrom	length	bases	mean	min	max
scaffold_1	8183653	279205730	34.12	0	433
scaffold_1_region	8183653	279205730	34.12	0	433
scaffold_2	7224844	236586955	32.75	0	429
scaffold_2_region	7224844	236586955	32.75	0	429
scaffold_3	5015139	164839862	32.87	0	1297
scaffold_3_region	5015139	164839862	32.87	0	1297
scaffold_4	3720388	122743407	32.99	0	318
scaffold_4_region	3720388	122743407	32.99	0	318
scaffold_5	3425647	114564696	33.44	0	309
scaffold_5_region	3425647	114564696	33.44	0	309
scaffold_6	106711	68370978	640.71	0	1310
scaffold_6_region	106711	68370978	640.71	0	1310
scaffold_7	80960	2546303	31.45	0	150
scaffold_7_region	80960	2546303	31.45	0	150
scaffold_8	65963	1965768	29.80	0	57
scaffold_8_region	65963	1965768	29.80	0	57
scaffold_9	64948	1993503	30.69	0	58
scaffold_9_region	64948	1993503	30.69	0	58
scaffold_10	55956	1584098	28.31	0	67
scaffold_10_region	55956	1584098	28.31	0	67
scaffold_11	48071	1185641	24.66	0	75
scaffold_11_region	48071	1185641	24.66	0	75
scaffold_12	41920	1233414	29.42	0	54
scaffold_12_region	41920	1233414	29.42	0	54
scaffold_13	36589	1146985	31.35	0	57
scaffold_13_region	36589	1146985	31.35	0	57
scaffold_14	21451	598117	27.88	0	54
scaffold_14_region	21451	598117	27.88	0	54
total	28092240	998565457	35.55	0	1310
total_region	28092240	998565457	35.55	0	1310
