STRAIN,FILEBASE,SRA
San_Joaquin_Valley_2,SRR1292218_[12].fastq.gz,SRR1292218
San_Joaquin_Valley_5,SRR1292219_[12].fastq.gz,SRR1292219
San_Joaquin_Valley_6,SRR1292220_[12].fastq.gz,SRR1292220
San_Joaquin_Valley_9,SRR1292221_[12].fastq.gz,SRR1292221
San_Joaquin_Valley_11,SRR1292222_[12].fastq.gz,SRR1292222
San_Diego_1.1,SRR1292223_[12].fastq.gz,SRR1292223
Washington_1,SRR1292224_[12].fastq.gz,SRR1292224
WA_202,SRR1292225_[12].fastq.gz,SRR1292225
WA_205,SRR1292226_[12].fastq.gz,SRR1292226
WA_211,SRR1292227_[12].fastq.gz,SRR1292227
WA_212,SRR1292228_[12].fastq.gz,SRR1292228
SJV_1,SRR3468015_[12].fastq.gz,SRR3468015
SJV_2,SRR3468016_[12].fastq.gz,SRR3468016
SJV_11,SRR3468017_[12].fastq.gz,SRR3468017
Guerrero_1,SRR3468018_[12].fastq.gz,SRR3468018
San_Diego_1.2,SRR3468019_[12].fastq.gz,SRR3468019
Michoacan_2,SRR3468020_[12].fastq.gz,SRR3468020
Coahuila_1,SRR3468021_[12].fastq.gz,SRR3468021
B0727_Argentina,SRR3468022_[12].fastq.gz,SRR3468022
SJV_3,SRR3468027_[12].fastq.gz,SRR3468027
SJV_4,SRR3468038_[12].fastq.gz,SRR3468038
SJV_5,SRR3468049_[12].fastq.gz,SRR3468049
SJV_6,SRR3468060_[12].fastq.gz,SRR3468060
SJV_7,SRR3468071_[12].fastq.gz,SRR3468071
SJV_8,SRR3468079_[12].fastq.gz,SRR3468079
SJV_9,SRR3468080_[12].fastq.gz,SRR3468080
SJV_10,SRR3468081_[12].fastq.gz,SRR3468081
